fulfillment_id,order_id,warehouse_hub,delivery_zone,promised_date,actual_delivery_date,delivery_status,delay_reason,delivery_partner
FULL_000001,ORD_000001,Dubai Hub,Zone C,2025-10-19,2025-10-19,On Time,,FastTrack
FULL_000002,ORD_000002,Sharjah Hub,Zone F,2025-10-13,2025-10-12,On Time,,QuickShip
FULL_000003,ORD_000003,Dubai Hub,Zone A,2025-10-22,2025-10-21,On Time,,SpeedLink
FULL_000004,ORD_000004,Sharjah Hub,Zone F,2025-12-26,,Pending,,SpeedLink
FULL_000005,ORD_000005,Abu Dhabi Hub,Zone B,2025-12-09,2025-12-09,On Time,,QuickShip
FULL_000006,ORD_000006,Dubai Hub,Zone C,2025-11-18,2025-11-16,On Time,,FastTrack
FULL_000007,ORD_000007,Dubai Hub,Zone A,2025-11-05,2025-11-07,Delayed,Customer Unavailable,SpeedLink
FULL_000008,ORD_000008,Sharjah Hub,Zone E,2025-11-03,,Failed,Address Issue,FastTrack
FULL_000009,ORD_000009,Dubai Hub,Zone D,2025-10-13,2025-10-17,Delayed,Traffic/Weather,SpeedLink
FULL_000010,ORD_000010,Dubai Hub,Zone E,2025-11-01,2025-10-30,On Time,,FastTrack
FULL_000011,ORD_000011,Dubai Hub,Zone B,2025-10-21,2025-10-26,Delayed,Address Issue,QuickShip
FULL_000012,ORD_000012,Dubai Hub,Zone C,2026-01-01,2026-01-01,On Time,,FastTrack
FULL_000013,ORD_000013,Sharjah Hub,Zone A,2025-11-30,,Failed,Address Issue,FastTrack
FULL_000014,ORD_000014,Dubai Hub,Zone E,2025-11-04,2025-11-04,On Time,,FastTrack
FULL_000015,ORD_000015,Sharjah Hub,Zone C,2025-12-17,2025-12-16,On Time,,SpeedLink
FULL_000016,ORD_000016,Dubai Hub,Zone A,2025-12-20,2025-12-20,On Time,,QuickShip
FULL_000017,ORD_000017,Dubai Hub,Zone B,2025-12-21,,Failed,Address Issue,FastTrack
FULL_000018,ORD_000018,Sharjah Hub,Zone B,2026-01-05,2026-01-05,On Time,,QuickShip
FULL_000019,ORD_000019,Sharjah Hub,Zone B,2025-12-29,2025-12-29,On Time,,SpeedLink
FULL_000020,ORD_000020,Abu Dhabi Hub,Zone E,2025-12-24,,Pending,,QuickShip
FULL_000021,ORD_000021,Abu Dhabi Hub,Zone E,2025-12-16,2025-12-18,Delayed,Traffic/Weather,QuickShip
FULL_000022,ORD_000022,Dubai Hub,Zone D,2026-01-03,2026-01-03,On Time,,FastTrack
FULL_000023,ORD_000023,Dubai Hub,Zone F,2025-11-22,2025-11-22,On Time,,QuickShip
FULL_000024,ORD_000024,Abu Dhabi Hub,Zone F,2025-11-14,,Failed,Address Issue,QuickShip
FULL_000025,ORD_000025,Abu Dhabi Hub,Zone E,2025-12-19,2025-12-19,On Time,,QuickShip
FULL_000026,ORD_000026,Dubai Hub,Zone E,2025-10-12,2025-10-11,On Time,,QuickShip
FULL_000027,ORD_000027,Dubai Hub,Zone C,2025-11-26,2025-11-25,On Time,,SpeedLink
