fulfillment_id,order_id,warehouse_hub,delivery_zone,promised_date,actual_delivery_date,delivery_status,delay_reason,delivery_partner
FUL_ORD_000001,ORD_000001,Sharjah Hub,Zone C,11/14/2025,11/14/2025,On Time,,FastTrack
FUL_ORD_000002,ORD_000002,Abu Dhabi Hub,Zone F,11/26/2025,11/26/2025,On Time,,FastTrack
FUL_ORD_000003,ORD_000003,Sharjah Hub,Zone F,11/26/2025,11/26/2025,On Time,,SpeedLink
FUL_ORD_000004,ORD_000004,Abu Dhabi Hub,Zone B,12/31/2025,12/31/2025,On Time,,QuickShip
FUL_ORD_000005,ORD_000005,Dubai Hub,Zone C,11/10/2025,11/10/2025,On Time,,QuickShip
FUL_ORD_000006,ORD_000006,Dubai Hub,Zone C,11/21/2025,11/21/2025,On Time,,QuickShip
FUL_ORD_000007,ORD_000007,Dubai Hub,Zone E,10/27/2025,10/27/2025,On Time,,FastTrack
FUL_ORD_000008,ORD_000008,Dubai Hub,Zone E,12/31/2025,1/2/2026,Delayed,Rider Unavailable,QuickShip
FUL_ORD_000009,ORD_000009,Dubai Hub,Zone D,10/27/2025,10/27/2025,On Time,,QuickShip
FUL_ORD_000010,ORD_000010,Sharjah Hub,Zone B,1/6/2026,1/6/2026,On Time,,FastTrack
FUL_ORD_000011,ORD_000011,Dubai Hub,Zone F,11/19/2025,,Failed,,QuickShip
FUL_ORD_000012,ORD_000012,Dubai Hub,Zone D,12/20/2025,12/20/2025,On Time,,QuickShip
FUL_ORD_000013,ORD_000013,Abu Dhabi Hub,Zone D,11/14/2025,11/14/2025,On Time,,SpeedLink
FUL_ORD_000014,ORD_000014,Abu Dhabi Hub,Zone B,12/2/2025,12/2/2025,On Time,,QuickShip
FUL_ORD_000015,ORD_000015,Sharjah Hub,Zone B,11/3/2025,,Pending,,QuickShip
FUL_ORD_000016,ORD_000016,Dubai Hub,Zone A,10/15/2025,10/15/2025,On Time,,QuickShip
FUL_ORD_000017,ORD_000017,Abu Dhabi Hub,Zone C,11/6/2025,11/6/2025,On Time,,FastTrack
FUL_ORD_000018,ORD_000018,Abu Dhabi Hub,Zone D,11/6/2025,11/6/2025,On Time,,QuickShip
FUL_ORD_000019,ORD_000019,Dubai Hub,Zone F,11/17/2025,,Failed,,QuickShip
FUL_ORD_000020,ORD_000020,Dubai Hub,Zone A,12/26/2025,,Pending,,FastTrack
FUL_ORD_000021,ORD_000021,Dubai Hub,Zone F,1/3/2026,1/3/2026,On Time,,QuickShip
FUL_ORD_000022,ORD_000022,Sharjah Hub,Zone F,11/14/2025,,Failed,,SpeedLink
FUL_ORD_000023,ORD_000023,Abu Dhabi Hub,Zone B,11/13/2025,11/13/2025,On Time,,QuickShip
FUL_ORD_000024,ORD_000024,Dubai Hub,Zone F,11/3/2025,11/5/2025,Delayed,Traffic/Weather,QuickShip
FUL_ORD_000025,ORD_000025,Dubai Hub,Zone D,1/2/2026,1/2/2026,On Time,,QuickShip
FUL_ORD_000026,ORD_000026,Abu Dhabi Hub,Zone C,10/13/2025,10/14/2025,Delayed,Address Issue,QuickShip
FUL_ORD_000027,ORD_000027,Dubai Hub,Zone B,12/4/2025,12/4/2025,On Time,,FastTrack
FUL_ORD_000028,ORD_000028,Sharjah Hub,Zone F,10/26/2025,10/26/2025,On Time,,FastTrack
FUL_ORD_000029,ORD_000029,Dubai Hub,Zone A,12/12/2025,12/12/2025,On Time,,SpeedLink
FUL_ORD_000030,ORD_000030,Sharjah Hub,Zone C,11/26/2025,11/26/2025,On Time,,FastTrack
FUL_ORD_000031,ORD_000031,Dubai Hub,Zone C,1/5/2026,1/5/2026,On Time,,FastTrack
FUL_ORD_000032,ORD_000032,Sharjah Hub,Zone E,10/13/2025,10/13/2025,On Time,,SpeedLink
FUL_ORD_000033,ORD_000033,Abu Dhabi Hub,Zone C,10/31/2025,10/31/2025,On Time,,FastTrack
FUL_ORD_000034,ORD_000034,Sharjah Hub,Zone E,12/17/2025,12/17/2025,On Time,,FastTrack
FUL_ORD_000035,ORD_000035,Sharjah Hub,Zone C,12/31/2025,12/31/2025,On Time,,SpeedLink
FUL_ORD_000036,ORD_000036,Sharjah Hub,Zone C,11/10/2025,11/10/2025,On Time,,QuickShip
FUL_ORD_000037,ORD_000037,Dubai Hub,Zone D,12/16/2025,12/16/2025,On Time,,FastTrack
FUL_ORD_000038,ORD_000038,Sharjah Hub,Zone C,11/19/2025,11/19/2025,On Time,,QuickShip
FUL_ORD_000039,ORD_000039,Abu Dhabi Hub,Zone D,12/29/2025,12/29/2025,On Time,,SpeedLink
FUL_ORD_000040,ORD_000040,Abu Dhabi Hub,Zone E,12/24/2025,12/24/2025,On Time,,FastTrack
FUL_ORD_000041,ORD_000041,Abu Dhabi Hub,Zone E,12/12/2025,,Failed,,FastTrack
FUL_ORD_000042,ORD_000042,Abu Dhabi Hub,Zone F,10/23/2025,,Pending,,QuickShip
FUL_ORD_000043,ORD_000043,Dubai Hub,Zone B,11/10/2025,11/10/2025,On Time,,SpeedLink
FUL_ORD_000044,ORD_000044,Sharjah Hub,Zone B,11/6/2025,11/6/2025,On Time,,FastTrack
FUL_ORD_000045,ORD_000045,Dubai Hub,Zone A,11/9/2025,11/9/2025,On Time,,FastTrack
FUL_ORD_000046,ORD_000046,Sharjah Hub,Zone F,11/14/2025,11/14/2025,On Time,,QuickShip
FUL_ORD_000047,ORD_000047,Dubai Hub,Zone F,12/26/2025,12/26/2025,On Time,,QuickShip
