item_id,order_id,product_category,product_name,quantity,unit_price,item_total
ITEM_000001,ORD_000001,Fashion,Puma Sneakers,1,1426.26,1426.26
ITEM_000002,ORD_000002,Home & Kitchen,Nespresso Machine,3,496.42,1489.26
ITEM_000003,ORD_000003,Fashion,Puma Sneakers,1,265.59,265.59
ITEM_000004,ORD_000004,Electronics,Canon EOS Camera,1,223.16,223.16
ITEM_000005,ORD_000004,Groceries,Lay's Chips,1,166.26,166.26
ITEM_000006,ORD_000004,Home & Kitchen,Dyson Vacuum,1,338.88,338.88
ITEM_000007,ORD_000005,Groceries,Kellogg's Cereal,3,87.7,263.1
ITEM_000008,ORD_000005,Beauty,Maybelline Mascara,2,139.06,278.12
ITEM_000009,ORD_000005,Home & Kitchen,Dyson Vacuum,2,84.41,168.82
ITEM_000010,ORD_000005,Electronics,iPhone 14 Pro,3,40.67,122.01
ITEM_000011,ORD_000006,Home & Kitchen,Nespresso Machine,3,113.66,340.98
ITEM_000012,ORD_000006,Beauty,Garnier Face Wash,3,305.24,915.72
ITEM_000013,ORD_000007,Groceries,Nutella Jar,3,126.62,379.86
ITEM_000014,ORD_000007,Electronics,iPhone 14 Pro,3,135.1,405.3
ITEM_000015,ORD_000008,Fashion,Mango Jacket,1,227.0,227.0
ITEM_000016,ORD_000008,Home & Kitchen,Tefal Cookware,1,308.47,308.47
ITEM_000017,ORD_000009,Electronics,Canon EOS Camera,2,99.58,199.16
ITEM_000018,ORD_000009,Beauty,Maybelline Mascara,1,430.28,430.28
ITEM_000019,ORD_000010,Fashion,Adidas Hoodie,2,90.22,180.44
ITEM_000020,ORD_000010,Groceries,Fresh Fruits Basket,3,30.14,90.42
ITEM_000021,ORD_000010,Beauty,L'Oreal Serum,2,66.23,132.46
ITEM_000022,ORD_000011,Groceries,Nescafe Coffee,1,636.09,636.09
ITEM_000023,ORD_000012,Home & Kitchen,KitchenAid Mixer,3,411.93,1235.79
ITEM_000024,ORD_000013,Electronics,Samsung Galaxy S23,3,141.57,424.71
