"item_id,order_id,product_category,product_name,quantity,unit_price,item_total"
"ITEM_0000001,ORD_004158,Home & Kitchen,Drug,1,437,437"
"ITEM_0000002,ORD_004132,Beauty,Official,3,182,546"
"ITEM_0000003,ORD_000057,Electronics,Agent,3,1703,5109"
"ITEM_0000004,ORD_006664,Electronics,His,3,1491,4473"
"ITEM_0000005,ORD_002308,Beauty,Fire,3,189,567"
"ITEM_0000006,ORD_007178,Fashion,Member,3,385,1155"
"ITEM_0000007,ORD_004967,Beauty,Program,3,88,264"
"ITEM_0000008,ORD_003017,Beauty,Enough,3,280,840"
"ITEM_0000009,ORD_006899,Fashion,Base,2,275,550"
"ITEM_0000010,ORD_001542,Groceries,Activity,3,66,198"
"ITEM_0000011,ORD_007771,Groceries,Production,2,128,256"
"ITEM_0000012,ORD_007059,Electronics,Paper,1,750,750"
"ITEM_0000013,ORD_002140,Beauty,Southern,3,246,738"
"ITEM_0000014,ORD_006625,Home & Kitchen,Little,3,543,1629"
"ITEM_0000015,ORD_002071,Electronics,Wish,3,1234,3702"
"ITEM_0000016,ORD_001681,Home & Kitchen,Meeting,1,428,428"
"ITEM_0000017,ORD_001436,Home & Kitchen,Avoid,2,242,484"
"ITEM_0000018,ORD_005346,Home & Kitchen,Yourself,3,769,2307"
"ITEM_0000019,ORD_007491,Groceries,Executive,2,134,268"
"ITEM_0000020,ORD_004301,Electronics,Visit,1,1576,1576"
"ITEM_0000021,ORD_003635,Groceries,Usually,1,76,76"
"ITEM_0000022,ORD_005443,Electronics,Federal,1,1571,1571"
"ITEM_0000023,ORD_002664,Beauty,Catch,2,217,434"
"ITEM_0000024,ORD_004931,Fashion,Much,1,323,323"
"ITEM_0000025,ORD_005524,Groceries,Budget,2,123,246"
"ITEM_0000026,ORD_004581,Beauty,Do,3,82,246"
"ITEM_0000027,ORD_006754,Beauty,Itself,3,114,342"
"ITEM_0000028,ORD_007080,Home & Kitchen,Appear,2,711,1422"
"ITEM_0000029,ORD_001935,Beauty,Too,2,164,328"
"ITEM_0000030,ORD_006101,Groceries,Action,3,80,240"
"ITEM_0000031,ORD_001841,Beauty,War,2,217,434"
"ITEM_0000032,ORD_002256,Home & Kitchen,Record,1,332,332"
"ITEM_0000033,ORD_006617,Beauty,They,3,100,300"
"ITEM_0000034,ORD_007667,Electronics,Yard,1,1859,1859"
"ITEM_0000035,ORD_000936,Electronics,Home,2,809,1618"
"ITEM_0000036,ORD_007130,Groceries,Hit,3,195,585"
"ITEM_0000037,ORD_002335,Beauty,Training,2,279,558"
"ITEM_0000038,ORD_001651,Beauty,Industry,3,276,828"
"ITEM_0000039,ORD_005673,Electronics,Marriage,2,1646,3292"
"ITEM_0000040,ORD_005554,Electronics,Force,3,1206,3618"
"ITEM_0000041,ORD_005046,Electronics,During,2,1088,2176"
"ITEM_0000042,ORD_000155,Electronics,Say,3,1758,5274"
"ITEM_0000043,ORD_002220,Beauty,Religious,1,241,241"
"ITEM_0000044,ORD_004910,Home & Kitchen,Staff,2,318,636"
"ITEM_0000045,ORD_004718,Beauty,Expect,2,292,584"
"ITEM_0000046,ORD_000205,Fashion,Establish,1,533,533"
"ITEM_0000047,ORD_000535,Beauty,Long,3,188,564"
"ITEM_0000048,ORD_003923,Groceries,Stage,1,79,79"
"ITEM_0000049,ORD_001344,Home & Kitchen,Politics,3,500,1500"
"ITEM_0000050,ORD_007032,Home & Kitchen,Different,1,475,475"
"ITEM_0000051,ORD_004912,Beauty,Peace,2,110,220"
"ITEM_0000052,ORD_005856,Fashion,Right,1,345,345"
"ITEM_0000053,ORD_005633,Home & Kitchen,Tax,2,403,806"
"ITEM_0000054,ORD_003927,Groceries,Support,1,185,185"
"ITEM_0000055,ORD_004371,Home & Kitchen,Young,1,548,548"
"ITEM_0000056,ORD_001327,Groceries,Age,3,102,306"
"ITEM_0000057,ORD_005464,Home & Kitchen,That,1,537,537"
"ITEM_0000058,ORD_007502,Groceries,Certain,3,142,426"
"ITEM_0000059,ORD_001855,Electronics,Relate,1,890,890"
"ITEM_0000060,ORD_006086,Electronics,You,3,1336,4008"
"ITEM_0000061,ORD_001609,Groceries,Use,2,118,236"
"ITEM_0000062,ORD_002260,Fashion,Side,1,243,243"
"ITEM_0000063,ORD_002874,Beauty,Agency,3,136,408"
"ITEM_0000064,ORD_005056,Home & Kitchen,Poor,1,628,628"
"ITEM_0000065,ORD_006489,Beauty,Wall,3,212,636"
"ITEM_0000066,ORD_006655,Fashion,Current,3,404,1212"
"ITEM_0000067,ORD_001294,Beauty,This,2,283,566"
"ITEM_0000068,ORD_007570,Electronics,Entire,2,971,1942"
"ITEM_0000069,ORD_004113,Groceries,Factor,2,80,160"
"ITEM_0000070,ORD_001161,Groceries,Oil,3,119,357"
"ITEM_0000071,ORD_003080,Beauty,Set,1,268,268"
"ITEM_0000072,ORD_003410,Groceries,Human,2,130,260"
"ITEM_0000073,ORD_006012,Home & Kitchen,Interview,2,568,1136"
"ITEM_0000074,ORD_001330,Fashion,Lose,3,589,1767"
"ITEM_0000075,ORD_007156,Groceries,Strong,2,54,108"
"ITEM_0000076,ORD_003544,Fashion,Nation,2,399,798"
"ITEM_0000077,ORD_006072,Groceries,Throw,2,126,252"
"ITEM_0000078,ORD_007621,Home & Kitchen,Evidence,3,472,1416"
"ITEM_0000079,ORD_003220,Home & Kitchen,Worry,1,627,627"
"ITEM_0000080,ORD_001225,Groceries,Good,3,126,378"
"ITEM_0000081,ORD_004221,Home & Kitchen,Congress,1,365,365"
"ITEM_0000082,ORD_001903,Fashion,Election,2,447,894"
"ITEM_0000083,ORD_000247,Electronics,Team,3,1633,4899"
"ITEM_0000084,ORD_005477,Electronics,Teacher,1,1826,1826"
"ITEM_0000085,ORD_000929,Groceries,Deal,2,94,188"
"ITEM_0000086,ORD_005955,Fashion,Nothing,3,428,1284"
"ITEM_0000087,ORD_007539,Fashion,Perhaps,3,158,474"
"ITEM_0000088,ORD_000240,Fashion,Occur,1,505,505"
"ITEM_0000089,ORD_003666,Home & Kitchen,Science,2,549,1098"
"ITEM_0000090,ORD_004399,Fashion,Region,3,253,759"
"ITEM_0000091,ORD_003343,Beauty,Great,3,111,333"
"ITEM_0000092,ORD_006730,Electronics,Huge,1,1616,1616"
"ITEM_0000093,ORD_000886,Beauty,Produce,1,228,228"
"ITEM_0000094,ORD_006192,Fashion,Record,3,583,1749"
"ITEM_0000095,ORD_007996,Beauty,Performance,3,149,447"
"ITEM_0000096,ORD_004855,Electronics,Every,3,1346,4038"
"ITEM_0000097,ORD_006406,Home & Kitchen,Look,3,232,696"
"ITEM_0000098,ORD_004195,Home & Kitchen,Fill,3,277,831"
"ITEM_0000099,ORD_005277,Home & Kitchen,Cell,1,503,503"
"ITEM_0000100,ORD_002902,Beauty,Win,2,141,282"
"ITEM_0000101,ORD_004200,Electronics,Down,1,747,747"
"ITEM_0000102,ORD_003769,Groceries,It,2,200,400"
"ITEM_0000103,ORD_001833,Home & Kitchen,Size,1,597,597"
"ITEM_0000104,ORD_002563,Fashion,Indicate,1,419,419"
"ITEM_0000105,ORD_006730,Home & Kitchen,Truth,2,428,856"
"ITEM_0000106,ORD_006763,Fashion,Look,2,358,716"
"ITEM_0000107,ORD_002750,Electronics,Specific,1,956,956"
"ITEM_0000108,ORD_000760,Fashion,Account,3,553,1659"
"ITEM_0000109,ORD_005388,Beauty,Give,3,226,678"
"ITEM_0000110,ORD_006989,Fashion,Book,1,210,210"
"ITEM_0000111,ORD_004702,Groceries,Amount,1,186,186"
"ITEM_0000112,ORD_006658,Electronics,Sound,1,556,556"
"ITEM_0000113,ORD_001271,Home & Kitchen,Space,1,220,220"
"ITEM_0000114,ORD_000145,Beauty,Southern,1,236,236"
"ITEM_0000115,ORD_000718,Home & Kitchen,Entire,3,733,2199"
"ITEM_0000116,ORD_003438,Home & Kitchen,Key,2,788,1576"
"ITEM_0000117,ORD_003089,Electronics,Explain,3,1181,3543"
"ITEM_0000118,ORD_000289,Fashion,Risk,1,261,261"
"ITEM_0000119,ORD_004725,Groceries,Indeed,2,167,334"
"ITEM_0000120,ORD_004315,Beauty,Act,2,211,422"
"ITEM_0000121,ORD_001618,Home & Kitchen,Example,3,472,1416"
"ITEM_0000122,ORD_006543,Home & Kitchen,Run,3,594,1782"
"ITEM_0000123,ORD_001275,Home & Kitchen,Game,2,718,1436"
"ITEM_0000124,ORD_003301,Groceries,Money,2,116,232"
"ITEM_0000125,ORD_002035,Fashion,Management,2,256,512"
"ITEM_0000126,ORD_001825,Fashion,Agency,1,171,171"
"ITEM_0000127,ORD_000812,Electronics,Animal,2,1434,2868"
"ITEM_0000128,ORD_006654,Beauty,Foot,3,183,549"
"ITEM_0000129,ORD_005343,Fashion,Program,1,295,295"
"ITEM_0000130,ORD_006103,Fashion,Nature,2,276,552"
"ITEM_0000131,ORD_005189,Electronics,Catch,1,757,757"
"ITEM_0000132,ORD_004858,Groceries,Public,3,72,216"
"ITEM_0000133,ORD_000890,Home & Kitchen,Ask,1,203,203"
"ITEM_0000134,ORD_002818,Electronics,Yard,1,1703,1703"
"ITEM_0000135,ORD_005438,Fashion,Type,1,399,399"
"ITEM_0000136,ORD_004056,Groceries,Enter,1,187,187"
"ITEM_0000137,ORD_003166,Home & Kitchen,Recognize,1,510,510"
"ITEM_0000138,ORD_005336,Home & Kitchen,Per,2,627,1254"
"ITEM_0000139,ORD_004044,Fashion,Size,2,172,344"
"ITEM_0000140,ORD_006285,Electronics,Science,3,1033,3099"
"ITEM_0000141,ORD_003890,Fashion,Large,3,487,1461"
"ITEM_0000142,ORD_003010,Fashion,Seat,2,510,1020"
