order_id,customer_id,order_date,order_channel,order_status,gross_amount,discount_amount,net_amount,payment_method,coupon_code
ORD_000001,CUST_01343,2025-10-15,Web,Delivered,1426.26,153.19,1273.07,Wallet,SAVE10
ORD_000002,CUST_01305,2025-10-09,Web,Delivered,1489.27,0.0,1489.27,Apple Pay,
ORD_000003,CUST_01498,2025-10-17,App,Delivered,265.59,0.0,265.59,COD,
ORD_000004,CUST_01853,2025-12-23,App,In Transit,728.3,155.09,573.21,Wallet,FIRST30
ORD_000005,CUST_00653,2025-12-04,Call Center,Delivered,832.05,97.42,734.63,COD,SAVE10
ORD_000006,CUST_00170,2025-11-14,Web,Delivered,1256.71,247.36,1009.35,COD,FIRST30
ORD_000007,CUST_01455,2025-11-03,App,Delivered,785.17,0.0,785.17,COD,
ORD_000008,CUST_01259,2025-10-29,Web,Cancelled,535.47,0.0,535.47,Card,
ORD_000009,CUST_01363,2025-10-09,App,Delivered,629.43,114.86,514.57,Wallet,FIRST30
ORD_000010,CUST_01980,2025-10-27,App,Delivered,403.33,0.0,403.33,Card,
ORD_000011,CUST_01562,2025-10-19,Web,Delivered,636.09,0.0,636.09,Wallet,
ORD_000012,CUST_01731,2025-12-28,App,Delivered,1235.79,0.0,1235.79,Card,
ORD_000013,CUST_01945,2025-11-27,Web,Cancelled,892.57,0.0,892.57,Card,
ORD_000014,CUST_01026,2025-11-01,Web,Delivered,584.11,110.04,474.07,Card,FIRST30
ORD_000015,CUST_01211,2025-12-14,App,Delivered,476.66,98.54,378.12,Wallet,FIRST30
ORD_000016,CUST_00355,2025-12-18,Web,Delivered,689.6,0.0,689.6,COD,
ORD_000017,CUST_00235,2025-12-16,Web,Cancelled,624.79,0.0,624.79,COD,
ORD_000018,CUST_01830,2026-01-01,Call Center,Delivered,687.58,110.32,577.26,Card,VIP25
ORD_000019,CUST_01580,2025-12-27,Web,Delivered,834.28,0.0,834.28,COD,
ORD_000020,CUST_00186,2025-12-19,App,In Transit,280.2,0.0,280.2,Wallet,
ORD_000021,CUST_01303,2025-12-13,App,Delivered,825.05,95.78,729.27,COD,WELCOME15
ORD_000022,CUST_00266,2026-01-01,Web,Delivered,611.7,0.0,611.7,Wallet,
ORD_000023,CUST_00614,2025-11-19,App,Delivered,604.65,109.11,495.54,Card,FIRST30
ORD_000024,CUST_01194,2025-11-12,App,Cancelled,210.56,40.09,170.47,Card,FLASH20
ORD_000025,CUST_01908,2025-12-16,App,Delivered,970.47,0.0,970.47,Card,
ORD_000026,CUST_00736,2025-10-09,App,Delivered,342.61,0.0,342.61,COD,
ORD_000027,CUST_01416,2025-11-23,Web,Delivered,622.95,75.49,547.46,COD,WELCOME15
ORD_000028,CUST_01617,2025-11-21,Call Center,Delivered,1757.47,120.95,1636.52,Card,WELCOME15
ORD_000029,CUST_00316,2025-10-15,App,Delivered,934.64,157.8,776.84,Wallet,VIP25
ORD_000030,CUST_00295,2025-11-30,App,Delivered,1137.74,0.0,1137.74,Card,
ORD_000031,CUST_00279,2026-01-03,App,In Transit,486.26,44.53,441.73,Card,WELCOME15
ORD_000032,CUST_00872,2025-11-29,Web,Delivered,653.39,0.0,653.39,Wallet,
ORD_000033,CUST_01324,2025-11-29,App,Cancelled,433.94,0.0,433.94,Card,
ORD_000034,CUST_01184,2025-11-27,Web,Delivered,538.3,65.25,473.05,Wallet,WELCOME15
ORD_000035,CUST_01181,2025-10-20,App,Cancelled,417.61,86.37,331.24,Card,FIRST30
ORD_000036,CUST_00306,2025-12-04,App,Delivered,476.14,109.02,367.12,Card,FIRST30
ORD_000037,CUST_01020,2025-12-05,App,Cancelled,2257.81,0.0,2257.81,Apple Pay,
ORD_000038,CUST_01360,2025-12-26,App,Cancelled,963.58,0.0,963.58,COD,
ORD_000039,CUST_00613,2025-11-18,App,Delivered,987.5,0.0,987.5,COD,
ORD_000040,CUST_01880,2025-12-05,Call Center,Delivered,511.36,0.0,511.36,COD,
ORD_000041,CUST_01568,2025-10-27,App,Delivered,467.33,107.4,359.93,Card,FIRST30
ORD_000042,CUST_01812,2025-12-25,Call Center,In Transit,1174.25,124.91,1049.34,Wallet,SAVE10
ORD_000043,CUST_00303,2025-11-11,App,Delivered,607.03,48.06,558.97,Card,SAVE10
ORD_000044,CUST_00881,2025-12-23,App,Delivered,857.27,152.41,704.86,Wallet,FLASH20
ORD_000045,CUST_01795,2025-10-28,App,Delivered,93.07,0.0,93.07,Card,
ORD_000046,CUST_01514,2025-10-28,App,Delivered,219.04,0.0,219.04,Apple Pay,
ORD_000047,CUST_00798,2025-12-12,Web,In Transit,297.3,0.0,297.3,COD,
ORD_000048,CUST_00703,2025-12-08,App,Delivered,985.35,206.48,778.87,Wallet,FLASH20
ORD_000049,CUST_00846,2025-12-01,Web,Delivered,788.74,0.0,788.74,COD,
ORD_000050,CUST_00343,2025-10-20,App,Delivered,273.99,23.15,250.84,Apple Pay,WELCOME15
ORD_000051,CUST_00052,2025-12-13,Web,Delivered,446.85,0.0,446.85,Card,
ORD_000052,CUST_01138,2025-10-24,App,Delivered,729.16,0.0,729.16,Card,
ORD_000053,CUST_00597,2025-12-12,Web,Delivered,90.91,17.72,73.19,Card,FIRST30
ORD_000054,CUST_00085,2025-11-20,Web,Delivered,169.58,0.0,169.58,Card,
ORD_000055,CUST_00885,2025-11-09,App,Delivered,993.63,76.77,916.86,Card,WELCOME15
ORD_000056,CUST_00523,2025-12-31,App,Delivered,682.0,0.0,682.0,Apple Pay,
ORD_000057,CUST_01504,2025-11-15,App,Delivered,698.14,71.21,626.93,Card,SAVE10
ORD_000058,CUST_01285,2025-11-27,Web,Delivered,87.8,0.0,87.8,Wallet,
ORD_000059,CUST_01954,2025-11-11,App,Delivered,710.66,0.0,710.66,COD,
ORD_000060,CUST_01656,2025-12-21,App,Delivered,230.81,0.0,230.81,Card,
ORD_000061,CUST_01712,2025-10-21,Web,Delivered,279.48,0.0,279.48,Card,
ORD_000062,CUST_00246,2025-10-20,Call Center,Delivered,312.3,27.36,284.94,Wallet,SAVE10
ORD_000063,CUST_00519,2025-11-10,Web,Delivered,351.0,20.21,330.79,Card,WELCOME15
ORD_000064,CUST_01418,2025-10-15,App,Delivered,911.12,75.02,836.1,COD,SAVE10
ORD_000065,CUST_00784,2025-10-28,Web,Cancelled,1142.16,63.97,1078.19,COD,WELCOME15
ORD_000066,CUST_01048,2025-11-25,App,Delivered,981.07,0.0,981.07,Wallet,
ORD_000067,CUST_01048,2025-11-30,App,Delivered,179.76,0.0,179.76,Wallet,
ORD_000068,CUST_00435,2025-11-08,App,Cancelled,338.12,0.0,338.12,COD,
ORD_000069,CUST_01430,2025-12-08,App,Cancelled,291.54,37.24,254.3,Card,SAVE10
ORD_000070,CUST_01851,2025-11-24,App,Delivered,301.91,0.0,301.91,Card,
ORD_000071,CUST_01640,2025-10-06,App,Delivered,383.44,0.0,383.44,COD,
ORD_000072,CUST_00323,2025-10-14,App,In Transit,531.43,0.0,531.43,Wallet,
ORD_000073,CUST_00478,2025-12-17,App,Delivered,433.67,55.5,378.17,Card,SAVE10
ORD_000074,CUST_01408,2025-10-13,App,In Transit,633.47,0.0,633.47,Wallet,
ORD_000075,CUST_01964,2025-11-18,App,Delivered,675.31,0.0,675.31,Card,
ORD_000076,CUST_00278,2025-10-31,Web,Delivered,779.62,0.0,779.62,Apple Pay,
ORD_000077,CUST_01888,2025-10-19,Web,Delivered,970.11,77.5,892.61,COD,WELCOME15
ORD_000078,CUST_00736,2025-10-23,Call Center,Delivered,832.45,161.33,671.12,Card,FLASH20
ORD_000079,CUST_01181,2025-12-07,App,In Transit,742.16,0.0,742.16,COD,
ORD_000080,CUST_00502,2025-12-02,Web,Cancelled,671.94,0.0,671.94,Wallet,
ORD_000081,CUST_00034,2025-10-11,Call Center,Delivered,114.08,0.0,114.08,COD,
ORD_000082,CUST_01617,2025-12-19,Web,In Transit,2075.63,198.92,1876.71,COD,SAVE10
ORD_000083,CUST_01029,2025-12-28,App,In Transit,113.93,0.0,113.93,Wallet,
ORD_000084,CUST_01017,2025-12-25,App,Delivered,122.14,7.7,114.44,Card,SAVE10
ORD_000085,CUST_01639,2025-12-23,App,Delivered,835.08,0.0,835.08,COD,
ORD_000086,CUST_00563,2025-10-14,App,Delivered,138.84,8.53,130.31,COD,SAVE10
ORD_000087,CUST_00873,2025-11-16,Web,Delivered,638.55,79.05,559.5,Card,WELCOME15
ORD_000088,CUST_01098,2025-11-02,Web,Delivered,609.89,0.0,609.89,Apple Pay,
ORD_000089,CUST_01215,2025-11-10,Web,Delivered,425.48,0.0,425.48,Apple Pay,
ORD_000090,CUST_01314,2025-10-27,App,Delivered,418.47,0.0,418.47,COD,
ORD_000091,CUST_00755,2025-12-25,App,Cancelled,117.44,0.0,117.44,Card,
ORD_000092,CUST_01593,2025-10-28,App,Delivered,225.13,35.59,189.54,COD,FLASH20
ORD_000093,CUST_01448,2026-01-02,App,Delivered,1047.28,200.68,846.6,Wallet,FIRST30
ORD_000094,CUST_01577,2025-11-27,App,In Transit,668.64,0.0,668.64,COD,
ORD_000095,CUST_00029,2025-10-29,Web,Delivered,993.7,0.0,993.7,Card,
ORD_000096,CUST_01254,2025-11-28,Web,Cancelled,1435.39,184.1,1251.29,COD,WELCOME15
ORD_000097,CUST_00204,2025-12-14,Call Center,Delivered,449.47,111.32,338.15,Card,FIRST30
ORD_000098,CUST_00052,2025-10-20,App,Returned,788.7,61.24,727.46,Card,SAVE10
ORD_000099,CUST_01404,2025-12-30,Web,Cancelled,856.28,171.04,685.24,Card,FLASH20
ORD_000100,CUST_00111,2025-11-30,App,Delivered,673.27,0.0,673.27,Card,
ORD_000101,CUST_01259,2025-12-13,Web,Delivered,1246.7,67.74,1178.96,COD,SAVE10
ORD_000102,CUST_01220,2025-11-05,Web,Delivered,1367.14,0.0,1367.14,COD,
ORD_000103,CUST_01214,2025-11-04,App,Delivered,1575.48,196.48,1379.0,COD,WELCOME15
ORD_000104,CUST_00668,2025-11-27,Web,Delivered,289.56,0.0,289.56,COD,
ORD_000105,CUST_00770,2025-12-19,Web,Delivered,900.06,0.0,900.06,Card,
ORD_000106,CUST_00901,2025-11-22,Call Center,Delivered,213.35,41.71,171.64,COD,FIRST30
ORD_000107,CUST_00767,2025-11-09,Web,Delivered,452.4,0.0,452.4,COD,
ORD_000108,CUST_00663,2025-11-10,App,Delivered,109.53,0.0,109.53,Card,
ORD_000109,CUST_00367,2025-11-18,App,Delivered,501.89,0.0,501.89,Apple Pay,
ORD_000110,CUST_00640,2025-12-18,App,Delivered,635.35,72.3,563.05,Card,SAVE10
ORD_000111,CUST_01752,2025-12-11,App,Delivered,291.33,0.0,291.33,COD,
ORD_000112,CUST_00953,2025-11-06,App,Delivered,624.25,48.64,575.61,Wallet,WELCOME15
ORD_000113,CUST_00389,2025-12-18,App,Delivered,953.31,199.41,753.9,COD,FLASH20
ORD_000114,CUST_00856,2025-12-05,App,Delivered,981.77,0.0,981.77,COD,
ORD_000115,CUST_01033,2025-12-06,Web,In Transit,110.93,0.0,110.93,COD,
ORD_000116,CUST_01427,2025-11-05,App,Delivered,835.59,0.0,835.59,Apple Pay,
ORD_000117,CUST_00212,2025-11-20,Web,Delivered,91.43,13.26,78.17,Card,SAVE10
ORD_000118,CUST_00522,2025-12-30,App,Delivered,999.04,0.0,999.04,COD,
ORD_000119,CUST_00240,2025-12-19,Call Center,Returned,797.07,0.0,797.07,COD,
ORD_000120,CUST_00232,2026-01-04,App,Cancelled,506.66,0.0,506.66,COD,
ORD_000121,CUST_01331,2025-11-24,App,Delivered,1014.85,50.88,963.97,Card,SAVE10
ORD_000122,CUST_00682,2025-11-09,App,Delivered,890.2,0.0,890.2,COD,
ORD_000123,CUST_01255,2025-12-24,App,Delivered,579.04,74.56,504.48,COD,SAVE10
ORD_000124,CUST_01507,2025-12-31,Web,Delivered,1411.92,0.0,1411.92,Card,
ORD_000125,CUST_01578,2025-11-21,Call Center,Cancelled,544.13,60.9,483.23,Card,WELCOME15
ORD_000126,CUST_00612,2025-11-01,App,Delivered,728.48,0.0,728.48,Wallet,
ORD_000127,CUST_00843,2025-12-06,Call Center,Cancelled,299.54,0.0,299.54,COD,
ORD_000128,CUST_01541,2025-11-16,App,Delivered,613.71,104.93,508.78,Card,FLASH20
ORD_000129,CUST_01663,2025-10-12,App,Delivered,854.64,0.0,854.64,COD,
ORD_000130,CUST_01693,2025-10-21,Web,Delivered,496.22,0.0,496.22,COD,
