order_id,customer_id,order_date,order_channel,order_status,gross_amount,discount_amount,net_amount,payment_method,coupon_code
ORD_000001,CUST_00112,11/10/2025,Web,Delivered,1138,120.57,1017.43,COD,SALE30
ORD_000002,CUST_00141,11/21/2025,App,Delivered,1960,0,1960,Apple Pay,
ORD_000003,CUST_01160,11/22/2025,Call Center,Delivered,1328,179.55,1148.45,Wallet,SALE15
ORD_000004,CUST_01617,12/29/2025,Web,Delivered,314,0,314,Card,
ORD_000005,CUST_00472,11/5/2025,Call Center,Delivered,1408,0,1408,Apple Pay,
ORD_000006,CUST_01654,11/16/2025,App,Delivered,1604,210.87,1393.13,Card,SALE21
ORD_000007,CUST_00062,10/24/2025,App,Delivered,120,0,120,Apple Pay,
ORD_000008,CUST_00738,12/29/2025,App,Delivered,498,70.35,427.65,Wallet,SALE15
ORD_000009,CUST_00696,10/25/2025,App,Delivered,548,141.29,406.71,Card,SALE15
ORD_000010,CUST_00208,1/1/2026,Call Center,Delivered,1826,0,1826,Card,
ORD_000011,CUST_00492,11/17/2025,Web,Delivered,793,155.24,637.76,Apple Pay,SALE12
ORD_000012,CUST_01893,12/18/2025,App,Delivered,342,0,342,Apple Pay,
ORD_000013,CUST_01228,11/10/2025,Call Center,Delivered,1522,0,1522,Card,
ORD_000014,CUST_01097,11/27/2025,App,Delivered,1662,114.53,1547.47,Card,SALE30
ORD_000015,CUST_00259,10/30/2025,Call Center,Cancelled,1729,0,1729,COD,
ORD_000016,CUST_00964,10/11/2025,Call Center,Delivered,1589,0,1589,Apple Pay,
ORD_000017,CUST_00767,11/1/2025,Call Center,Delivered,1638,430.25,1207.75,Wallet,SALE21
ORD_000018,CUST_01014,11/4/2025,Web,Delivered,1176,142.96,1033.04,Card,SALE16
ORD_000019,CUST_00481,11/14/2025,App,Delivered,549,119.58,429.42,Apple Pay,SALE28
ORD_000020,CUST_01128,12/24/2025,App,In Transit,421,86.77,334.23,Wallet,SALE24
ORD_000021,CUST_01196,12/29/2025,Web,Delivered,1162,0,1162,Wallet,
ORD_000022,CUST_00886,11/12/2025,Web,In Transit,972,0,972,Wallet,
ORD_000023,CUST_00368,11/8/2025,App,Delivered,659,0,659,Card,
ORD_000024,CUST_01028,10/30/2025,Call Center,Delivered,835,162.14,672.86,Wallet,SALE17
ORD_000025,CUST_00738,12/30/2025,Call Center,Delivered,301,0,301,COD,
ORD_000026,CUST_00620,10/8/2025,Web,Delivered,1482,0,1482,COD,
ORD_000027,CUST_01869,12/1/2025,App,In Transit,1851,229.49,1621.51,Wallet,SALE21
ORD_000028,CUST_01684,10/21/2025,Call Center,Delivered,1703,497.06,1205.94,COD,SALE22
ORD_000029,CUST_01535,12/8/2025,Web,Delivered,566,0,566,Apple Pay,
ORD_000030,CUST_00176,11/24/2025,App,Delivered,1579,132.74,1446.26,Apple Pay,SALE16
ORD_000031,CUST_01144,12/31/2025,Web,Delivered,998,0,998,COD,
ORD_000032,CUST_01660,10/11/2025,Web,Delivered,725,109.8,615.2,Apple Pay,SALE23
ORD_000033,CUST_01415,10/27/2025,Web,Delivered,1504,189.93,1314.07,Card,SALE28
ORD_000034,CUST_00285,12/15/2025,Web,Delivered,1708,0,1708,Apple Pay,
ORD_000035,CUST_00801,12/26/2025,Call Center,Delivered,880,0,880,Apple Pay,
ORD_000036,CUST_01971,11/7/2025,Call Center,Cancelled,322,0,322,Card,
ORD_000037,CUST_01133,12/12/2025,App,In Transit,451,0,451,Apple Pay,
ORD_000038,CUST_00143,11/15/2025,Web,Delivered,154,0,154,Wallet,
ORD_000039,CUST_00932,12/27/2025,Web,Delivered,1450,0,1450,COD,
ORD_000040,CUST_00322,12/20/2025,App,Delivered,769,162.74,606.26,Apple Pay,SALE12
ORD_000041,CUST_00267,12/8/2025,Web,Delivered,896,250.75,645.25,Apple Pay,SALE15
ORD_000042,CUST_00636,10/20/2025,App,Delivered,1336,0,1336,Apple Pay,
ORD_000043,CUST_00293,11/7/2025,App,In Transit,664,0,664,COD,
ORD_000044,CUST_01166,11/2/2025,Web,Delivered,1176,0,1176,Card,
ORD_000045,CUST_01324,11/6/2025,Web,Delivered,1609,0,1609,Wallet,
ORD_000046,CUST_00359,11/11/2025,App,Delivered,900,117.9,782.1,Apple Pay,SALE24
ORD_000047,CUST_01165,12/22/2025,Web,Delivered,887,157.46,729.54,Card,SALE17
ORD_000048,CUST_01287,10/27/2025,Web,Delivered,1913,365.51,1547.49,Card,SALE16
