return_id,order_id,return_date,return_reason,refund_amount,refund_status
RET_00001,ORD_004035,11/14/2025,Size Issue,131.45,Processed
RET_00002,ORD_007793,11/14/2025,Size Issue,1262.6,Rejected
RET_00003,ORD_006660,12/14/2025,Quality Issue,200.75,Pending
RET_00004,ORD_005688,11/23/2025,Defective,826.97,Processed
RET_00005,ORD_000680,12/7/2025,Defective,166.41,Pending
RET_00006,ORD_002970,11/28/2025,Quality Issue,326.08,Rejected
RET_00007,ORD_000110,12/5/2025,Changed Mind,723.48,Processed
RET_00008,ORD_004489,12/12/2025,Size Issue,295.25,Processed
RET_00009,ORD_007792,1/6/2026,Wrong Item,1414.34,Pending
RET_00010,ORD_005855,11/26/2025,Quality Issue,589.59,Rejected
RET_00011,ORD_000904,1/13/2026,Quality Issue,143.17,Processed
RET_00012,ORD_007076,12/3/2025,Changed Mind,634.29,Processed
RET_00013,ORD_004519,11/18/2025,Changed Mind,440.25,Pending
RET_00014,ORD_001838,12/17/2025,Changed Mind,177.85,Pending
RET_00015,ORD_006761,11/1/2025,Wrong Item,682.15,Pending
RET_00016,ORD_003110,12/19/2025,Wrong Item,1657.54,Rejected
RET_00017,ORD_000291,12/16/2025,Changed Mind,458.34,Rejected
RET_00018,ORD_001501,10/28/2025,Changed Mind,285.89,Processed
RET_00019,ORD_006625,10/23/2025,Wrong Item,1042.34,Processed
RET_00020,ORD_000572,12/23/2025,Quality Issue,179.13,Pending
RET_00021,ORD_000987,12/23/2025,Defective,153.54,Processed
RET_00022,ORD_006752,1/1/2026,Changed Mind,426.43,Pending
RET_00023,ORD_004336,1/5/2026,Changed Mind,1066.55,Processed
RET_00024,ORD_002016,11/25/2025,Size Issue,966.03,Processed
RET_00025,ORD_003497,1/9/2026,Defective,702.45,Rejected
RET_00026,ORD_002910,12/4/2025,Size Issue,325.29,Pending
RET_00029,ORD_001296,10/29/2025,Defective,602.3,Pending
RET_00030,ORD_003449,11/9/2025,Defective,741.93,Pending
RET_00031,ORD_001956,12/20/2025,Quality Issue,378.09,Pending
RET_00032,ORD_006983,12/16/2025,Changed Mind,407.08,Rejected
RET_00033,ORD_004321,10/12/2025,Size Issue,1436.8,Rejected
RET_00034,ORD_006294,11/13/2025,Defective,933.9,Processed
RET_00035,ORD_006485,10/22/2025,Changed Mind,745.05,Processed
RET_00037,ORD_001275,12/25/2025,Size Issue,955.56,Pending
RET_00038,ORD_002974,12/5/2025,Wrong Item,419.18,Pending
RET_00039,ORD_007902,11/27/2025,Changed Mind,304,Rejected
RET_00040,ORD_003950,12/10/2025,Changed Mind,111.62,Pending
RET_00041,ORD_004731,10/12/2025,Wrong Item,1360.69,Processed
RET_00042,ORD_002703,12/11/2025,Size Issue,356.83,Rejected
RET_00043,ORD_000916,12/10/2025,Wrong Item,381.15,Processed
RET_00044,ORD_004155,10/30/2025,Quality Issue,426.7,Pending
RET_00045,ORD_005593,10/31/2025,Quality Issue,815.11,Processed
RET_00047,ORD_002890,12/12/2025,Quality Issue,246.78,Pending
RET_00048,ORD_002104,12/6/2025,Defective,1000.8,Processed
RET_00049,ORD_007264,11/16/2025,Changed Mind,330.73,Processed
RET_00050,ORD_002775,12/25/2025,Changed Mind,234.71,Rejected
RET_00051,ORD_000526,11/16/2025,Changed Mind,1000.73,Pending
RET_00052,ORD_006933,1/13/2026,Defective,769.99,Pending
RET_00053,ORD_003861,11/1/2025,Wrong Item,684.86,Rejected
RET_00054,ORD_007184,11/15/2025,Wrong Item,898.04,Processed
RET_00056,ORD_001688,12/13/2025,Wrong Item,434.03,Rejected
RET_00057,ORD_003246,10/19/2025,Defective,130.02,Processed
RET_00058,ORD_007699,10/25/2025,Wrong Item,670.57,Processed
RET_00060,ORD_002721,11/2/2025,Wrong Item,1412.78,Rejected
RET_00062,ORD_007523,10/31/2025,Quality Issue,401.62,Rejected
RET_00063,ORD_000028,11/1/2025,Size Issue,973.25,Pending
RET_00064,ORD_004588,11/4/2025,Wrong Item,644.23,Processed
RET_00065,ORD_006812,1/9/2026,Changed Mind,257.35,Pending
RET_00066,ORD_003903,11/27/2025,Size Issue,1246.02,Rejected
RET_00067,ORD_002191,1/3/2026,Changed Mind,350.74,Rejected
RET_00068,ORD_002394,12/28/2025,Size Issue,1003.19,Rejected
RET_00069,ORD_000094,10/28/2025,Defective,637.94,Pending
RET_00070,ORD_003619,11/16/2025,Defective,62.9,Rejected
RET_00071,ORD_001458,11/22/2025,Defective,424.47,Pending
RET_00072,ORD_005655,1/11/2026,Quality Issue,939.38,Rejected
RET_00073,ORD_002791,11/17/2025,Defective,748.04,Rejected
RET_00074,ORD_000184,12/28/2025,Wrong Item,137.51,Rejected
RET_00075,ORD_005186,1/4/2026,Size Issue,419.02,Processed
RET_00076,ORD_007429,10/17/2025,Size Issue,450.46,Pending
RET_00078,ORD_003949,11/29/2025,Changed Mind,619.64,Rejected
RET_00079,ORD_000260,12/10/2025,Defective,302.49,Pending
RET_00081,ORD_001374,11/6/2025,Changed Mind,639.99,Rejected
RET_00082,ORD_005620,10/16/2025,Size Issue,540.26,Processed
RET_00083,ORD_004020,12/21/2025,Size Issue,550.93,Rejected
RET_00084,ORD_007545,12/20/2025,Wrong Item,385.13,Processed
